All sky irradiance,Clear sky irradiance,ALLSKY  ICI,Temperature,Dew point,Wet bulb,Surface pressure,ALLSKY SFC PAR TOT,ALLSKY SFC UV INDEX,CLRSKY SFC PAR TOT,QV2M
6.31,7.21,0.58,27.55,25.15,26.35,95.07,124.99,2.23,141.44,21.18
3.03,7.16,0.28,29.69,23.76,26.73,94.94,62.98,1.19,140.27,19.53
5.93,7.22,0.55,28.22,24.2,26.21,94.95,117.82,2.17,142,20.02
5.25,6.82,0.48,29.65,24.92,27.28,95.04,104.34,1.87,132.55,20.87
2.63,6.81,0.24,27.97,25.47,26.72,95.29,55.4,1.07,133.39,21.55
2.47,6.67,0.23,27.59,25.14,26.37,95.29,51.12,0.91,130.52,21.12
2.62,6.96,0.24,27.49,24.21,25.85,95.16,53.97,1.07,136.45,20.02
5,7,0.47,28.14,24.13,26.13,95.11,100.34,1.94,137.55,19.9
6.02,6.63,0.57,29.75,24.7,27.23,95.04,117.69,2.04,128.62,20.63
5.51,6.5,0.52,30.26,25.26,27.76,95.02,107.38,1.84,125.03,21.36
4.86,6.68,0.46,30.75,25.18,27.96,95,96.11,1.77,129.29,21.24
3.73,6.39,0.35,29.4,24.87,27.14,95.03,73.91,1.32,122.76,20.81
4.7,6.35,0.45,28.79,24.84,26.82,95.03,91.9,1.66,121.08,20.81
2.88,6.31,0.27,29.02,25.01,27.01,95.2,58,0.96,120.83,20.94
4.55,6.16,0.44,29.36,24.98,27.17,95.32,89.23,1.51,117.81,20.94
6.16,6.44,0.59,30.03,24.93,27.48,94.95,119.04,2.02,123.98,20.94
6.43,6.74,0.62,30.14,25.45,27.8,94.77,125.62,2.21,131.34,21.61
5.32,6.33,0.52,30.99,25.7,28.34,94.98,103.4,1.73,121.81,21.91
5.25,6.34,0.51,30.49,25.9,28.19,95.24,101.57,1.7,122.27,22.09
5.25,6.31,0.52,30.72,25.41,28.07,95.05,101.21,1.66,120.71,21.55
6.03,6.55,0.59,31.12,25.62,28.37,94.9,115.38,1.89,124.73,21.85
5.78,6.69,0.57,30.51,25.76,28.13,94.85,111.9,1.91,128.76,22.03
4.48,6.41,0.45,29.36,25.15,27.25,94.75,86.24,1.35,122.3,21.24
5.24,5.69,0.52,25.56,18.71,22.13,95.25,97.9,1.4,105.74,14.4
3.81,6.51,0.38,27.04,19.06,23.05,95.46,73.75,1.26,122.95,14.53
6.6,6.61,0.66,28.33,17.94,23.13,95.33,123.39,1.95,123.78,13.55
6.9,6.89,0.7,28.4,19.66,24.03,95.19,130.3,2.07,130.5,15.14
6.61,6.69,0.67,28.89,20.41,24.65,95.16,126.2,2.02,127.88,15.87
6.29,6.45,0.64,28.9,21.94,25.42,94.99,121.3,1.95,124.7,17.46
5.9,6.03,0.6,29.54,23.08,26.31,95,112.84,1.79,115.45,18.68
5.44,5.71,0.55,29.43,23.39,26.41,95.21,103.04,1.6,108.32,19.04
5.32,5.45,0.55,30.14,24,27.07,95.17,100.3,1.43,102.98,19.71
5.44,5.69,0.56,29.61,23.58,26.6,95.08,103.33,1.55,108.11,19.29
4.88,5.99,0.51,29.37,23.42,26.39,94.93,93.11,1.41,113.99,19.1
5.99,6.09,0.62,28.8,23.24,26.02,95.13,114.14,1.74,116.45,18.86
5.63,5.8,0.59,29.05,23.34,26.19,95.12,106.6,1.59,109.83,18.98
5.57,5.65,0.59,29.74,22.62,26.18,95,104.41,1.46,106.16,18.19
4.14,5.97,0.44,28.48,22.29,25.38,95.3,79.21,1.21,113.01,17.76
6.1,6.28,0.66,28.05,21.76,24.9,95.42,116.88,1.8,120.68,17.15
5.04,6.27,0.54,27.49,21.96,24.73,95.28,98.43,1.58,121.79,17.4
6.14,6.28,0.66,28.17,21.51,24.84,95.24,118.52,1.9,121.63,16.97
5.32,6.19,0.58,27.91,21.66,24.79,95.27,103.15,1.62,119.77,17.09
5.23,6.06,0.57,25.89,21.74,23.82,95.27,100.43,1.6,116.12,17.21
5.89,6.06,0.65,26.5,19.16,22.83,95.31,111.35,1.66,114.8,14.65
6.42,6.4,0.71,27.01,16.93,21.97,95.29,121.08,1.9,121.2,12.7
6.12,6.15,0.68,26.11,17.7,21.9,95.32,115.57,1.78,116.58,13.37
4.33,5.61,0.48,25.7,18.77,22.23,95.23,82.19,1.26,104.94,14.28
5.47,5.51,0.62,23.56,15.37,19.47,95.48,102.7,1.41,103.71,11.54
6.29,6.28,0.71,25.65,11.63,18.64,95.61,115.08,1.56,115.29,8.97
6.43,6.41,0.73,25.28,12.49,18.89,95.62,117.61,1.71,117.73,9.58
5.83,6.11,0.67,26.74,15.77,21.26,95.56,110.1,1.65,115.86,11.84
6.08,6.05,0.7,27.72,17.23,22.48,95.41,114.44,1.73,114.64,13
5.69,5.85,0.66,26.94,18.51,22.73,95.57,106.34,1.59,110.02,14.04
5.86,5.87,0.69,26.23,18.17,22.2,95.6,109.2,1.56,110.16,13.67
5.83,5.82,0.69,27.3,16.31,21.81,95.69,109.12,1.53,109.74,12.21
5.73,5.73,0.68,27.21,14.8,21.01,95.77,105.66,1.4,106.47,11.05
5.56,5.62,0.66,26.96,14.8,20.88,95.86,103.26,1.41,105.12,11.05
5.51,5.55,0.66,26.48,15.29,20.89,95.74,103.01,1.38,104.4,11.41
4.65,5.39,0.56,26.53,15.25,20.89,95.92,88.23,1.23,102.34,11.35
5.43,5.41,0.66,27.38,14.86,21.12,95.88,101.21,1.35,101.8,11.05
5.67,5.65,0.7,27.95,13.77,20.86,95.83,106.23,-999,106.56,10.31
5.84,5.8,0.72,27.25,12.9,20.08,95.78,108.69,1.43,108.78,9.77
5.61,5.57,0.7,26.99,13.51,20.26,95.79,103.99,1.32,104.2,10.19
